koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_model_snr,koi_ror,koi_prad,st_teff,st_logg,st_met,st_mass,st_radius,st_dens
1.0,9.48803557,2.9575,615.8,0.146,35.8,0.022344,2.26,5762.0,4.426,0.14,0.985,0.989,1.469
1.0,54.4183827,4.507,874.8,0.586,25.8,0.027954,2.83,5762.0,4.426,0.14,0.985,0.989,1.469
0.0,1.736952453,2.40641,8079.2,1.276,505.6,0.387394,33.46,5805.0,4.546,-0.52,0.8314999999999999,0.803,2.3120000000000003
1.0,2.525591777,1.6545,603.3,0.701,40.9,0.024064,2.75,6031.0,4.438,0.07,1.095,1.046,1.347
1.0,11.09432054,4.5945,1517.5,0.538,66.5,0.036779,3.9,6046.0,4.486,-0.08,1.053,0.972,1.615
1.0,4.13443512,3.1402,686.0,0.762,40.2,0.026133,2.77,6046.0,4.486,-0.08,1.053,0.972,1.615
1.0,2.56658897,2.429,226.5,0.755,15.0,0.014983,1.59,6046.0,4.486,-0.08,1.053,0.972,1.615
0.0,7.36178958,5.022,233.7,1.169,47.7,0.183387,39.21,6227.0,3.986,0.0,1.358,1.958,0.255
1.0,16.06864674,3.5347,4914.3,0.052,161.9,0.062161,5.76,5101.0,4.609,-0.12,0.8140000000000001,0.742,2.3795
1.0,2.470613377,1.74319,14230.9,0.818,4304.3,0.123871,13.04,5850.0,4.455,-0.15,0.9555,0.964,1.528
1.0,2.204735417,3.88864,6674.7,0.224,5945.9,0.075522,16.1,6350.0,4.021,0.14,1.4845000000000002,1.952,0.2728
1.0,3.522498429,3.19843,9145.7,0.631,1741.5,0.092086,14.59,6225.0,4.169,-0.04,1.132,1.451,0.5218
1.0,3.709214104,2.6302,131.1,0.051,50.6,0.010424,1.16,5833.0,4.407,-0.04,0.974,1.022,1.283
0.0,11.521446064,3.6399,17984.3,2.483,622.1,1.625358,150.51,5795.0,4.553,-0.2,0.9385,0.85,2.1615
0.0,19.40393776,12.2155,8918.7,0.804,214.7,0.096729,7.18,5043.0,4.591,-0.54,0.657,0.68,2.945
0.0,19.221388942,4.79843,74284.0,1.065,2317.0,0.476633,49.29,6117.0,4.496,-0.22,1.025,0.947,1.702
0.0,16.46983774,9.4378,10478.9,0.292,303.4,0.092509,7.94,5152.0,4.517,-0.2,0.741,0.786,2.149
1.0,9.27358173,3.2875,1288.3,0.387,87.2,0.032563,2.47,4856.0,4.583,-0.3,0.676,0.696,2.828
1.0,6.02930329,1.5821,1912.7,0.258,65.4,0.038838,2.85,4536.0,4.648,0.2,0.764,0.672,3.389
0.0,2.696370652,3.6129,397.9,0.044,48.2,0.017673,1.58,4989.0,4.504,0.1,0.781,0.819,2.0
1.0,5.349553819,3.0278,831.0,0.092,60.6,0.025706,2.55,5551.0,4.572,-0.18,0.85695,0.806,1.988
1.0,3.94105221,2.5984,363.3,0.226,28.9,0.017105,1.7,5551.0,4.572,-0.18,0.85695,0.806,1.988
1.0,8.10904807,3.596,217.4,0.025,14.1,0.013127,1.3,5551.0,4.572,-0.18,0.85695,0.806,1.988
0.0,386.6030528,6.8057,24926.6,0.9765,994.0,0.240528,41.5,5541.0,4.084,0.44,1.09435,1.567,0.39
