kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_model_snr,koi_num_transits,koi_ror,koi_prad,st_teff,st_logg,st_met,st_mass,st_radius,st_dens,teff_err1,teff_err2,logg_err1,logg_err2,feh_err1,feh_err2,mass_err1,mass_err2,radius_err1,radius_err2
10797460,CONFIRMED,9.48803557,2.9575,615.8,0.146,35.8,142.0,0.022344,2.26,5762.0,4.426,0.14,0.985,0.989,1.469,123.0,-123.0,0.068,-0.243,0.15,-0.15,0.1315,-0.08685,0.465,-0.114
10797460,CONFIRMED,54.4183827,4.507,874.8,0.586,25.8,25.0,0.027954,2.83,5762.0,4.426,0.14,0.985,0.989,1.469,123.0,-123.0,0.068,-0.243,0.15,-0.15,0.1315,-0.08685,0.465,-0.114
10811496,CANDIDATE,19.89913995,1.7822,10829.0,0.969,76.3,56.0,0.154046,14.6,5853.0,4.544,-0.18,0.961,0.868,2.0685,158.0,-171.0,0.044,-0.176,0.26,-0.26,0.10375,-0.11465,0.237,-0.078
10848459,FALSE POSITIVE,1.736952453,2.40641,8079.2,1.276,505.6,621.0,0.387394,33.46,5805.0,4.546,-0.52,0.8314999999999999,0.803,2.3120000000000003,157.0,-144.0,0.053,-0.223,0.3,-0.26,0.09995,-0.0716499999999999,0.364,-0.068
10854555,CONFIRMED,2.525591777,1.6545,603.3,0.701,40.9,515.0,0.024064,2.75,6031.0,4.438,0.07,1.095,1.046,1.347,151.0,-207.0,0.07,-0.222,0.17,-0.29,0.1905,-0.137,0.442,-0.133
10872983,CONFIRMED,11.09432054,4.5945,1517.5,0.538,66.5,95.0,0.036779,3.9,6046.0,4.486,-0.08,1.053,0.972,1.615,163.0,-217.0,0.054,-0.229,0.22,-0.3,0.1593,-0.14265,0.414,-0.105
10872983,CONFIRMED,4.13443512,3.1402,686.0,0.762,40.2,240.0,0.026133,2.77,6046.0,4.486,-0.08,1.053,0.972,1.615,163.0,-217.0,0.054,-0.229,0.22,-0.3,0.1593,-0.14265,0.414,-0.105
10872983,CONFIRMED,2.56658897,2.429,226.5,0.755,15.0,355.0,0.014983,1.59,6046.0,4.486,-0.08,1.053,0.972,1.615,163.0,-217.0,0.054,-0.229,0.22,-0.3,0.1593,-0.14265,0.414,-0.105
6721123,FALSE POSITIVE,7.36178958,5.022,233.7,1.169,47.7,185.0,0.183387,39.21,6227.0,3.986,0.0,1.358,1.958,0.255,109.0,-119.0,0.146,-0.136,0.12,-0.12,0.1313,-0.1942499999999999,0.393,-0.393
10910878,CONFIRMED,16.06864674,3.5347,4914.3,0.052,161.9,69.0,0.062161,5.76,5101.0,4.609,-0.12,0.8140000000000001,0.742,2.3795,78.0,-83.0,0.083,-0.106,0.15,-0.15,0.0659,-0.062,0.125,-0.066
11446443,CONFIRMED,2.470613377,1.74319,14230.9,0.818,4304.3,432.0,0.123871,13.04,5850.0,4.455,-0.15,0.9555,0.964,1.528,66.0,-66.0,0.025,-0.025,0.1,-0.1,0.056,-0.053,0.038,-0.038
10666592,CONFIRMED,2.204735417,3.88864,6674.7,0.224,5945.9,611.0,0.075522,16.1,6350.0,4.021,0.14,1.4845000000000002,1.952,0.2728,78.0,-84.5,0.022,-0.019,0.1149999999999999,-0.1149999999999999,0.053,-0.0635,0.0585,-0.064
6922244,CONFIRMED,3.522498429,3.19843,9145.7,0.631,1741.5,384.0,0.092086,14.59,6225.0,4.169,-0.04,1.132,1.451,0.5218,112.0,-137.0,0.055,-0.048,0.12,-0.15,0.098,-0.088,0.117,-0.129
10984090,CONFIRMED,3.709214104,2.6302,131.1,0.051,50.6,352.0,0.010424,1.16,5833.0,4.407,-0.04,0.974,1.022,1.283,105.0,-117.0,0.085,-0.127,0.15,-0.14,0.066,-0.066,0.18,-0.107
10419211,FALSE POSITIVE,11.521446064,3.6399,17984.3,2.483,622.1,96.0,1.625358,150.51,5795.0,4.553,-0.2,0.9385,0.85,2.1615,155.0,-163.0,0.033,-0.176,0.25,-0.28,0.0957,-0.1075,0.269,-0.075
10464078,FALSE POSITIVE,19.40393776,12.2155,8918.7,0.804,214.7,71.0,0.096729,7.18,5043.0,4.591,-0.54,0.657,0.68,2.945,151.0,-135.0,0.072,-0.379,0.34,-0.28,0.136,-0.0373499999999999,0.619,-0.065
10480982,FALSE POSITIVE,19.221388942,4.79843,74284.0,1.065,2317.0,55.0,0.476633,49.29,6117.0,4.496,-0.22,1.025,0.947,1.702,164.0,-195.0,0.052,-0.208,0.24,-0.3,0.14,-0.1345,0.367,-0.096
10485250,FALSE POSITIVE,16.46983774,9.4378,10478.9,0.292,303.4,66.0,0.092509,7.94,5152.0,4.517,-0.2,0.741,0.786,2.149,168.0,-140.0,0.088,-0.263,0.3,-0.26,0.1278,-0.05615,0.332,-0.088
10526549,CONFIRMED,9.27358173,3.2875,1288.3,0.387,87.2,144.0,0.032563,2.47,4856.0,4.583,-0.3,0.676,0.696,2.828,131.0,-134.0,0.058,-0.035,0.3,-0.28,0.0915,-0.0485,0.056,-0.067
10583066,CONFIRMED,6.02930329,1.5821,1912.7,0.258,65.4,215.0,0.038838,2.85,4536.0,4.648,0.2,0.764,0.672,3.389,123.0,-120.0,0.02,-0.056,0.2,-0.28,0.0315,-0.0705,0.055,-0.036
10583180,FALSE POSITIVE,2.696370652,3.6129,397.9,0.044,48.2,501.0,0.017673,1.58,4989.0,4.504,0.1,0.781,0.819,2.0,149.0,-132.0,0.09,-0.222,0.25,-0.26,0.09525,-0.056,0.382,-0.082
10601284,CONFIRMED,5.349553819,3.0278,831.0,0.092,60.6,247.0,0.025706,2.55,5551.0,4.572,-0.18,0.85695,0.806,1.988,87.0,-87.0,0.098,-0.154,0.15,-0.15,0.0753,-0.0585,0.217,-0.086
10601284,CONFIRMED,3.94105221,2.5984,363.3,0.226,28.9,322.0,0.017105,1.7,5551.0,4.572,-0.18,0.85695,0.806,1.988,87.0,-87.0,0.098,-0.154,0.15,-0.15,0.0753,-0.0585,0.217,-0.086
10601284,CONFIRMED,8.10904807,3.596,217.4,0.025,14.1,141.0,0.013127,1.3,5551.0,4.572,-0.18,0.85695,0.806,1.988,87.0,-87.0,0.098,-0.154,0.15,-0.15,0.0753,-0.0585,0.217,-0.086
2306756,FALSE POSITIVE,386.6030528,6.8057,24926.6,0.9765,994.0,,0.240528,41.5,5541.0,4.084,0.44,1.09435,1.567,0.39,79.0,-78.0,0.014,-0.016,0.05,-0.101,0.0785,-0.075,0.064,-0.064
10662202,CONFIRMED,21.67699193,3.4555,857.2,0.896,34.3,62.0,0.032666,2.95,4900.0,4.62,-0.2,0.645,0.687,3.673,79.0,-79.0,0.053,-0.024,0.15,-0.15,0.04105,-0.024,0.027,-0.037
10682541,CONFIRMED,4.99677968,2.1717,934.7,0.71,28.2,208.0,0.030014,2.78,5339.0,4.552,0.18,0.931,0.847,2.162,175.0,-143.0,0.034,-0.228,0.2,-0.24,0.0645,-0.0865,0.285,-0.069
11460018,CONFIRMED,4.280963604,2.875,750.8,0.424,61.8,311.0,0.025377,2.3,5641.0,4.564,-0.16,0.918,0.831,2.252,152.0,-147.0,0.032,-0.248,0.28,-0.26,0.09445,-0.101,0.341,-0.069
11463211,FALSE POSITIVE,1.50635409,1.5155,2211.7,0.86,181.1,882.0,0.049899,4.53,5714.0,4.562,-0.2,0.922,0.835,2.245,155.0,-155.0,0.04,-0.16,0.28,-0.26,0.0905,-0.1035,0.186,-0.08
11465813,FALSE POSITIVE,670.645531,53.412,18090.6,0.701,642.7,3.0,0.131705,14.14,5520.0,4.466,0.48,1.03,0.983,1.528,100.0,-111.0,0.04,-0.144,0.05,-0.15,0.038,-0.06,0.16,-0.053
